icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0101be,1517220729,,1517230737,EDDF,MSR785  ,,,1593,95,0,2
3c6675,1517227831,EDDT,1517230709,EDDF,DLH187  ,191,54,3000,103,1,3
3c6663,1517226907,,1517230498,EDDF,DLH8JT  ,,,3307,126,0,3
3c64c3,1517196397,,1517230408,EDDF,DLH543  ,,,4478,126,0,3
501d7d,1517222295,,1517230331,EDDF,ADR114  ,,,357,95,0,2
3c65c2,1517225348,LHBP,1517230259,EDDF,DLH1MA  ,5462,801,4044,133,0,3
4bcdd5,1517220169,,1517230076,EDDF,SXS73C  ,,,1543,103,0,2
4ca99c,1517226616,LIML,1517229957,EDDF,AZA408  ,1205,220,1322,103,1,2
3c674e,1517227669,EBBR,1517229954,EDDF,DLH3W   ,603,86,4468,126,0,3
4baa12,1517220062,,1517229677,EDDF,THY3JY  ,,,1849,80,0,3
4b19d1,1517226941,LOWS,1517229520,EDDF,SJT911  ,8534,1246,1576,88,0,2
4cab97,1517218766,LGAV,1517229104,EDDF,RYR9UD  ,934,147,1248,110,0,2
3c5461,1517223181,,1517228673,EDDF,DLH7KV  ,,,4024,133,0,3
4b8432,1517218293,,1517228475,EDDF,PGT8MD  ,,,4472,133,0,3
3c6465,1517225241,EDDT,1517227994,EDDF,EZY159T ,440,6,1911,103,1,3
3c4aac,1517190044,KLAS,1517227766,EDDF,CFG063  ,2209,24,4421,133,2,3
4b19ea,1517224712,LSZH,1517227509,EDDF,SWR1072 ,1049,172,2413,95,1,2
424255,1517216441,UUEE,1517227495,EDDF,AFL2300 ,8083,1067,4430,133,0,3
3c660d,1517223009,,1517227287,EDDF,DLH811  ,,,1498,103,0,2
